Arabic,ENGLISH,AMHARIC,JAPANESE
لا ,No,አይ,番号
من ,From,ከ,から
في ,in a,ሀ,in
أن ,that,ያ,それ
هذا ,this,ይህ,これ
على ,On,በርቷል,の上
ما ,What,ምንድን,何
أنا ,I,እኔ,私
هل ,Do,መ ስ ራ ት,行う
و ,And,እና,と
يا ,Oh,ኦህ,ああ
ذلك,that,ያ,それ
لقد ,lhave,ሊን,私は持っている
لم ,did not,አላደረገም,しなかった
ماذا ,what,ምንድን,何
كان ,It was,ነበር,そうだった
هنا ,here,እዚህ,ここ
إلى ,to me,ለኔ,私に
أنت ,You are,አንተ ነህ,あなたは
هو ,he,እሱ,彼
هذه ,this is,ይሄ,これは
عن ,on,በርቷል,の上
نعم ,Yes,አዎ,はい
ان ,that,ያ,それ
هناك ,over there,እዚያ,そちら側
كل ,all,ሁሉም,全て
حسناً ,OK,እሺ,わかった
ليس ,Not,አይደለም,いいえ
كنت ,I was,ነበርኩ,私は亡くなった
فقط ,Just,በቃ,ただ
شيء ,Thing,ነገር,もの
الآن ,right Now,ልክ አሁን,たった今
مع ,with,ከ ጋር,と
الذي ,Which,የትኛው,どれの
لكن ,But,ግን,しかし
أجل ,okay,እሺ,わかった
لك ,for you,ለእርስዎ,あなたのために
يجب ,Must,መሆን አለበት,しなければならない
لن ,will not,አይሆንም,しない
كيف ,how,እንዴት,どうやって
حسنا ,OK,እሺ,わかった
انا ,I,እኔ,私
لي ,Mine,የኔ,私の
إنه ,that it,ያ ነው,そのこと
سوف ,Will,ይሆናል,意思
نحن ,we,እኛ,私たち
إذا ,if,ከሆነ,もしも
كانت ,she was,እሷ ነች,彼女はそうだった
عندما ,when,መቼ,いつ
أي ,Which,የትኛው,どれの
قد ,may be,ምን አልባት,多分
لماذا ,Why,እንዴት,なぜ
هي ,she,እርሷ,彼女
الأمر ,Command,ትእዛዝ,指示
أنه ,that it,ያ ነው,そのこと
فى ,in a,ሀ,in
حتى ,Even,እንኳን,平
بعد ,after,በኋላ,後
كذلك ,like that,እንደዚያ,そのように
أو ,or,ወይም,また
ولكن ,But,ግን,しかし
قبل  ,Before,ከዚህ በፊት,前
التي  ,Which,የትኛው,どれの
انه  ,that it,ያ ነው,そのこと
إنها  ,It,እሱ,これ
ـ  ,And,እና,と
